exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,encouragement_using_masks,encouragement_using_gloves,encouragement_using_hand_sanitizers,wide_temperature_tests,lockdown_level,country,province,start_date
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,AR,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,BE,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,BL,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,BS,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,FR,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,GE,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,GL,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,GR,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,JU,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,LU,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,NE,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,NW,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,OW,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SG,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SH,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SO,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SZ,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,TG,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,TI,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,UR,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,VD,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,VS,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,ZG,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,ZH,2020-03-28 00:00:00
False,False,True,True,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,all,2020-03-28 00:00:00
False,False,False,False,False,False,0,1,0,,50,True,0,True,True,False,True,True,False,False,True,False,2,Sweden,Blekinge,2020-03-26 00:00:00
False,False,False,False,False,False,0,1,0,,50,True,0,False,False,False,True,True,False,False,True,False,2,Sweden,all,2020-03-26 00:00:00
False,True,False,False,False,False,2,0,0,,15,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Alberta,2020-03-25 00:00:00
False,True,False,False,False,False,0,2,0,,50,True,0,False,False,False,False,True,False,False,False,False,2,Canada,British Columbia,2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Calgary, Alberta",2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Edmonton, Alberta",2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"London, ON",2020-03-25 00:00:00
False,True,False,False,False,False,2,2,0,,10,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Manitoba,2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Montreal, QC",2020-03-25 00:00:00
False,True,False,False,False,False,2,0,0,,0,True,0,False,False,False,False,True,False,False,False,False,3,Canada,Northwest Territories,2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,Nunavut,2020-03-25 00:00:00
False,True,False,False,False,False,2,2,0,,50,True,0,True,True,False,False,True,False,False,False,False,3,Canada,Ontario,2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,"Toronto, ON",2020-03-25 00:00:00
False,True,False,True,False,False,0,2,0,,10,True,0,False,False,False,False,True,False,False,False,False,2,Canada,Yukon,2020-03-25 00:00:00
False,True,False,False,False,False,0,0,0,,,True,0,False,False,False,False,True,False,False,False,False,2,Canada,all,2020-03-25 00:00:00
True,False,False,False,False,False,1,2,1,,,False,0,False,False,False,True,True,True,False,True,False,3,South Korea,all,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,AG,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,AI,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,AR,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,BE,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,BL,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,BS,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,FR,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,GE,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,GL,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,GR,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,JU,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,LU,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,NE,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,NW,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,OW,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SG,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SH,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SO,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,SZ,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,TG,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,TI,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,UR,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,VD,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,VS,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,ZG,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,ZH,2020-03-25 00:00:00
False,False,True,False,False,False,2,2,0,2,5,True,1,False,False,False,True,True,False,False,False,False,3,Switzerland,all,2020-03-25 00:00:00
True,True,False,False,False,False,0,0,0,,500,True,0,False,False,True,False,False,True,True,True,False,2,Taiwan,all,2020-03-25 00:00:00
True,True,False,False,False,False,2,2,2,1.5,500,True,0,False,True,False,True,True,False,False,False,False,3,Australia,New South Wales,2020-03-24 00:00:00
True,True,False,False,False,False,2,2,2,1.5,500,True,0,False,True,False,True,True,False,False,False,False,3,Australia,Victoria,2020-03-24 00:00:00
False,False,False,False,False,False,2,2,0,,50,True,0,True,True,False,False,False,False,False,False,False,3,Canada,Ontario,2020-03-24 00:00:00
True,True,True,True,False,False,1,0,2,1,10,True,0,False,False,False,False,False,True,False,True,True,3,Singapore,all,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Aneurin Bevan,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Ayrshire and Arran,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Barking and Dagenham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Barnet,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Barnsley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bath and North East Somerset,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bedford,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Betsi Cadwaladr,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bexley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Birmingham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Blackburn with Darwen,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Blackpool,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Blaenau Gwent County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bolton,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Borders,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,"Bournemouth, Christchurch and Poole",2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bracknell Forest,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bradford,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Brent,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bridgend County Borough Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Brighton and Hove,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,"Bristol, City of",2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Bromley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,False,False,False,False,4,United Kingdom,Buckinghamshire,2020-03-24 00:00:00
