exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,lockdown_level,country,province,start_date
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Hartlepool,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Havering,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,"Herefordshire, County of",2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Hertfordshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Highland,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Hillingdon,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Hounslow,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Hywel Dda,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Isle of Anglesey County Council,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Isle of Wight,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Islington,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Kensington and Chelsea,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Kent,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,"Kingston upon Hull, City of",2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Kingston upon Thames,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Kirklees,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Knowsley,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Lambeth,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Lanarkshire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Lancashire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Leeds,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Leicester,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Leicestershire,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Lewisham,2020-03-24 00:00:00
True,False,True,True,False,True,2,2,1,2,2,False,1,False,False,True,True,True,4,United Kingdom,Lincolnshire,2020-03-24 00:00:00
