City_Name,Population,Infected,Date
Jerusalem,914559,1302,2020-04-05
Bnei Brak,195298,1214,2020-04-05
Tel Aviv - Yafo,450192,359,2020-04-05
Ashkelon,139032,191,2020-04-05
Petah Tikva,242478,159,2020-04-05
Rishon Lezion,241010,139,2020-04-05
Beit Shemesh,120812,137,2020-04-05
Netanya,213971,137,2020-04-05
El'ad,46760,133,2020-04-05
Ashdod,225073,129,2020-04-05
Be'er Sheva,196755,121,2020-04-05
Ramat Gan,143370,116,2020-04-05
Modi'in Illit,73808,115,2020-04-05
Holon,185741,110,2020-04-05
Haifa,272584,105,2020-04-05
Bat Yam,130523,103,2020-04-05
Modi'in-Maccabim-Re'ut,87108,101,2020-04-05
Tiberias,44353,94,2020-04-05
Beitar Illit,59240,88,2020-04-05
Or Yehuda,34843,84,2020-04-05
Migdal HaEmek,26058,84,2020-04-05
Ra'anana,73979,75,2020-04-05
Herzliya,90900,74,2020-04-05
Rehovot,137178,68,2020-04-05
Efrat,10676,61,2020-04-05
Yehud-Monosson,29104,61,2020-04-05
Kfar Saba,97412,56,2020-04-05
Afula,50886,49,2020-04-05
Lod,75038,46,2020-04-05
Zefat,35671,43,2020-04-05
Kfar Habad,6724,41,2020-04-05
Kiryat Ono,37112,41,2020-04-05
Ramla,75246,40,2020-04-05
Kiryat Ye'arim,5713,37,2020-04-05
Kokhav Ya'akov,8602,36,2020-04-05
Kiryat Malakhi,23691,36,2020-04-05
Ramat HaSharon,44896,33,2020-04-05
Hod HaSharon,59171,29,2020-04-05
Ma'ale Adumim,37469,29,2020-04-05
Givatim,55123,28,2020-04-05
Shoham,20041,28,2020-04-05
Rechasim,11841,27,2020-04-05
Givat Shumuel,24538,26,2020-04-05
Nahariya,58750,26,2020-04-05
Kiryat Gat,55400,26,2020-04-05
Yavne,45555,25,2020-04-05
Ganei Tiqva,18930,24,2020-04-05
Hadera,94104,24,2020-04-05
Netivot,36511,24,2020-04-05
Rosh Haayin,53965,24,2020-04-05
Sderot,25891,24,2020-04-05
Even Yehuda,13263,23,2020-04-05
Gan Yavne,22410,22,2020-04-05
Dimona,35377,22,2020-04-05
Zikhron Ya'akov,22341,22,2020-04-05
Nof Ha'Galil,43811,22,2020-04-05
Ofakim,30185,21,2020-04-05
Azur,11819,21,2020-04-05
Carmiel,46596,21,2020-04-05
Gedera,24633,20,2020-04-05
Kiryat Yam,39556,20,2020-04-05
Umm el-Fahm,55324,16,2020-04-05
Be'er Ya'akov,24216,16,2020-04-05
Kiryat Ata,57108,16,2020-04-05
Giv'at Ze'ev,18510,15,2020-04-05
Tamra,33792,14,2020-04-05
Kfar Yona,21301,14,2020-04-05
Daburiyya,10414,13,2020-04-05
Tirat Carmel,22243,13,2020-04-05
Acre,50872,13,2020-04-05
Tel Mond,12593,13,2020-04-05
Arad,26763,12,2020-04-05
Yokneam,22711,11,2020-04-05
Kadima Zoran,20831,11,2020-04-05
Kiryat Arba,7364,11,2020-04-05
Eilat,56568,10,2020-04-05
Jasser a-Zarqa,14732,10,2020-04-05
Mevaseret Zion,23093,10,2020-04-05
Omer,8016,10,2020-04-05
