exposure_to_patient_isolation,enter_area_isolation,appearance_of_symptoms_isolation,risk_groups_isolation,full_quarantine,partial_quarantine,unnecessary_business,educational_institutions,religious_institutions,distance_saving_instructions,congregation_restriction,prohibition_entering_country,public_transport_restriction,limit_hospital_visits,limit_retirement_homes_visits,disinfecting_public_spaces,police_army_enforcement,fines_and_incarceration,country,province,start_date,lockdown_level
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,,,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Lombardia,21/02/2020 00:00,3
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Emilia Romagna,21/02/2020 00:00,2
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,Haute-Savoie,08/02/2020 00:00,1
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Spain,all,31/01/2020 00:00,1
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,US,Washington,24/01/2020 00:00,1
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,France,Haute-Savoie,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,all,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Lombardia,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Emilia Romagna,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Piemonte,01/01/2019 00:00,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,Italy,Basilicata,01/01/2019 00:00,0
