city,county,state,country,population
,,,THA,68414135
,,,JPN,126451398
,,,SGP,5888926
,,,NPL,29384297
,,,MYS,31381992
,,,KHM,16204486
,,,LKA,22409381
,,,DEU,80594017
,,,FIN,5491218
,,,ARE,6072475
,,,PHL,104256076
,,,IND,1281935911
,,,SWE,9960487
,,,BEL,11491346
,,,EGY,97041072
,,,LBN,6229794
,,,IRQ,39192111
,,,OMN,3424386
,,,AFG,34124811
,,,BHR,1410942
,,,KWT,2875422
,,,DZA,40969443
,,,HRV,4292095
,,,CHE,8236303
,,,AUT,8754413
,,,ISR,8299706
,,,PAK,204924861
,,,BRA,207353391
,,,GEO,4926330
,,,GRC,10768477
,,,MKD,2103721
,,,NOR,5320045
,,,ROU,21529967
,,,EST,1251581
,,,SMR,33537
,,,BLR,9549747
,,,ISL,339747
,,,LTU,2823859
,,,MEX,124574795
,,,NZL,4510327
,,,NGA,190632261
,,,IRL,5011102
,,,LUX,594130
,,,MCO,30645
,,,QAT,2314307
,,,ECU,16290913
,,,AZE,9961396
,,,ARM,3045191
,,,DOM,10734247
,,,IDN,260580739
,,,PRT,10839514
,,,AND,85702
,,,LVA,1944643
,,,MAR,33986655
,,,SAU,28571770
,,,SEN,14668522
,,,ARG,44293293
,,,CHL,17789267
,,,JOR,10248069
,,,UKR,44033874
,,,HUN,9850845
,,,LIE,38244
,,,POL,38476269
,,,TUN,11403800
,,,BIH,3856181
,,,SVN,1972126
,,,ZAF,54841552
,,,BTN,758288
,,,CMR,24994885
,,,COL,47698524
,,,CRI,4930258
,,,PER,31036656
,,,SRB,7111024
,,,SVK,5445829
,,,TGO,7965055
,,,MLT,416338
,,,MTQ,
,,,BGR,7101510
,,,MDV,392709
,,,BGD,157826578
,,,PRY,6943739
,,,ALB,3047987
,,,CYP,1221549
,,,BRN,443593
,,,BFA,20107509
,,,VAT,1000
,,,MNG,3068243
,,,PAN,3753142
,,Hubei,CHN,59170000
,,,IRN,82021564
,,,KOR,51181299
,,Guangdong,CHN,113460000
,,Henan,CHN,96050000
,,Zhejiang,CHN,57370000
,,Hunan,CHN,68990000
,,Anhui,CHN,63240000
,,Jiangxi,CHN,46480000
,,Shandong,CHN,100470000
,,Jiangsu,CHN,80510000
,,Chongqing,CHN,31020000
,,Sichuan,CHN,83410000
,,Heilongjiang,CHN,37730000
,,,DNK,5605948
,,Beijing,CHN,21540000
,,Shanghai,CHN,24240000
,,Hebei,CHN,75560000
,,Fujian,CHN,39410000
,,Guangxi,CHN,49260000
,,Shaanxi,CHN,38640000
,,Yunnan,CHN,48300000
,,Hainan,CHN,9340000
,,Guizhou,CHN,36000000
,,Tianjin,CHN,15600000
,,Shanxi,CHN,37180000
,,Gansu,CHN,26370000
,,,HKG,7191503
,,Liaoning,CHN,43590000
,,Jilin,CHN,27040000
,,,CZE,10674723
,,Xinjiang,CHN,24870000
,,Inner Mongolia,CHN,25000034
,,Ningxia,CHN,6880000
,,,TWN,23508428
,,,VNM,96160163
,,,RUS,142257519
,,Qinghai,CHN,6030000
,,,MAC,601969
,,,MDA,3474121
,,,BOL,11138234
,,,FRO,50730
,,St Martin,FRA,
,,,HND,9038741
,,Channel Islands,GBR,
,,Tibet,CHN,3440000
,,,COD,83301151
,,,CIV,24184810
,,Saint Barthelemy,FRA,9793
,,,JAM,2990561
,,,TUR,80845215
,,Gibraltar,GBR,32194
,,,CUB,11147407
,,,GUY,737718
,,,GBR,64769452
,,,KAZ,18556698
,,French Polynesia,FRA,
,,,ETH,105350020
,,,SDN,37345935
,,,GIN,12413867
,,,KEN,47615739
,,,ATG,94731
,,,URY,3360148
,,,GHA,27499924
,,,NAM,2484780
,,,SYC,93920
,,,TTO,1218208
,,,VEN,31304016
,,,SWZ,1467152
,,,GAB,1772255
,,,GTM,15460732
,,,MRT,19245344
,,,RWA,11901484
,,,LCA,164994
,,,VCT,102089
,,,SUR,591919
,,French Guiana,FRA,
,,,XKX,1895250
,,,CAF,5625118
,,,COG,4954674
,,,GNQ,778358
,,,UZB,29748859
,,,NLD,17084719
,,,BEN,11038805
,,,LBR,4689021
,,Curacao,NLD,
,,,SOM,7531386
,,,TZA,53950935
,,Cayman Islands,GBR,
,,Reunion,FRA,
,,,BRB,292336
,,,MNE,642550
,,,KGZ,5789122
,,,MUS,1356388
,,Aruba,NLD,
,,,ZMB,15972000
,,,DJI,865267
,,,GMB,2051363
,,Montserrat,GBR,
,,,"Bahamas, The",
,,Greenland,DNK,
,,New Caledonia,FRA,
,,Bermuda,GBR,
,,,TCD,12075985
,,,SLV,6172011
,,,FJI,920938
,,,NIC,6025951
,,,MDG,25054161
,,,HTI,10646714
,,,AGO,29310273
,,,CPV,560899
,,Sint Maarten,NLD,
,,,NER,19245344
,,,PNG,6909701
,,Isle of Man,GBR,
,,,ZWE,13805084
,,,Cape Verde,560899
,,,East Timor,1291358
,,,ERI,5918919
,,,UGA,39570125
,,,DMA,73897
,,,GRD,111724
,,,MOZ,26573706
,,,Syria,18028549
,,,TLS,1291358
,,,GLP,
,,,REU,
,,,GUF,
,,,MYT,
,,,GRL,57713
,,,GUM,167358
,,,GGY,66502
,,,JEY,98840
,,,PRI,3351827
,,,Republic of the Congo,4954674
,,,BHS,329988
,,,The Gambia,2051363
,,Tasmania,AUS,534281
,,Western Australia,AUS,2621680
,,,AUS,23232413
,,British Columbia,CAN,5071000
,,Alberta,CAN,4067175
,,Saskatchewan,CAN,1098352
,,Manitoba,CAN,1278365
,,Ontario,CAN,13448494
,,Quebec,CAN,8164361
,,New Brunswick,CAN,747101
,,Nova Scotia,CAN,923598
,,Prince Edward Island,CAN,142907
,,Newfoundland and Labrador,CAN,519716
,,Yukon,CAN,35874
,,Northwest Territories,CAN,41786
,,Nunavut,CAN,35944
,,Total,CAN,
,Zurich,,CHE,
,,Andalucía,ESP,
,,Aragón,ESP,
,,Principado de Asturias,ESP,
,,Illes Balears,ESP,
,,Canarias,ESP,
,,Cantabria,ESP,
,,Castilla y León,ESP,
,,Castilla-La Mancha,ESP,
,,Cataluña,ESP,
,,Comunidad Valenciana,ESP,
,,Extremadura,ESP,
,,Galicia,ESP,
,,Comunidad de Madrid,ESP,
,,Región de Murcia,ESP,
,,Comunidad Foral de Navarra,ESP,
,,País Vasco,ESP,
,,La Rioja,ESP,
,,Ceuta,ESP,
,,Melilla,ESP,
,,,ESP,48958159
,,La Réunion,FRA,
,,Saint-Barthélemy,FRA,
,,Saint-Martin,FRA,
,,Guadeloupe,FRA,
,,Martinique,FRA,
,,Guyane,FRA,
,,Mayotte,FRA,
,,Ile-de-France,FRA,
,,Centre-Val de Loire,FRA,
,,Bourgogne-Franche-Comté,FRA,
,,Normandie,FRA,
,,Hauts-de-France,FRA,
,,Grand-Est,FRA,
,,Pays de la Loire,FRA,
,,Bretagne,FRA,
,,Nouvelle-Aquitaine,FRA,
,,Occitanie,FRA,
,,Auvergne-Rhône-Alpes,FRA,
,,Provence-Alpes-Côte d’Azur,FRA,
,,Corse,FRA,
,,,FRA,67106161
,,Andhra Pradesh,IND,49577103
,,Bihar,IND,104099452
,,Chhattisgarh,IND,25545198
,,Delhi,IND,16787941
,,Gujarat,IND,60439692
,,Haryana,IND,25351462
,,Himachal Pradesh,IND,6864602
,,Karnataka,IND,61095297
,,Kerala,IND,33406061
,,Madhya Pradesh,IND,72626809
,,Maharashtra,IND,112374333
,,Odisha,IND,41974218
,,Puducherry,IND,1247953
,,Punjab,IND,27743338
,,Rajasthan,IND,68548437
,,Tamil Nadu,IND,72147030
,,Telengana,IND,35003674
,,Chandigarh,IND,1055450
,,Jammu and Kashmir,IND,12267032
,,Ladakh,IND,274000
,,Uttar Pradesh,IND,199812341
,,Uttarakhand,IND,10086292
,,West Bengal,IND,91276115
,,Abruzzo,ITA,1311580
,,Basilicata,ITA,562869
,,P.A. Bolzano,ITA,107436
,,Calabria,ITA,1947131
,,Campania,ITA,5801692
,,Emilia Romagna,ITA,4459477
,,Friuli Venezia Giulia,ITA,1215220
,,Lazio,ITA,5879082
,,Liguria,ITA,1550640
,,Lombardia,ITA,10060574
,,Marche,ITA,1525271
,,Molise,ITA,305617
,,Piemonte,ITA,4356406
,,Puglia,ITA,4029053
,,Sardegna,ITA,1639591
,,Sicilia,ITA,4999891
,,Toscana,ITA,3729641
,,P.A. Trento,ITA,1072276
,,Umbria,ITA,882015
,,Valle d'Aosta,ITA,125666
,,Veneto,ITA,4905854
,,,ITA,62137802
,,AK,USA,731545
,,AL,USA,4903185
,,AR,USA,3017804
,,AZ,USA,7278717
,,CT,USA,3565287
,,DC,USA,705749
,,DE,USA,973764
,,GA,USA,10617423
,,IA,USA,3155070
,,ID,USA,1787065
,,KS,USA,2913314
,,LA,USA,4648794
,,MA,USA,6892503
,,MD,USA,6045680
,,ME,USA,1344212
,,MI,USA,9986857
,,MN,USA,5639632
,,MO,USA,6137428
,,MS,USA,2976149
,,MT,USA,1068778
,,NC,USA,10488084
,,ND,USA,762062
,,NE,USA,1934408
,,NH,USA,1359711
,,NJ,USA,8882190
,,NM,USA,2096829
,,NV,USA,3080156
,,NY,USA,19453561
,,OH,USA,11689100
,,OK,USA,3956971
,,OR,USA,4217737
,,PA,USA,12801989
,,SC,USA,5148714
,,SD,USA,884659
,,TN,USA,6829174
,,TX,USA,28995881
,,UT,USA,3205958
,,VA,USA,8535519
,,VT,USA,623989
,,WA,USA,7614893
,,WI,USA,5822434
,,WV,USA,1792147
,,WY,USA,578759
,,PR,USA,3193694
,,AS,USA,
,,GU,USA,
,,MP,USA,
,,VI,USA,
,,,USA,326625791
,,Australian Capital Territory,AUS,426709
,,New South Wales,AUS,8089526
,,Northern Territory,AUS,245869
,,Queensland,AUS,5095100
,,South Australia,AUS,1751693
,,Victoria,AUS,6594804
,,DE-BB,DEU,3740000
,,DE-BE,DEU,3740000
,,DE-BW,DEU,11020000
,,DE-BY,DEU,13000000
,,DE-HB,DEU,548000
,,DE-HE,DEU,6240000
,,DE-HH,DEU,1822000
,,DE-MV,DEU,1635000
,,DE-NI,DEU,7960000
,,DE-NW,DEU,17910000
,,DE-RP,DEU,4070000
,,DE-SH,DEU,2890000
,,DE-SL,DEU,990000
,,DE-SN,DEU,4080000
,,DE-ST,DEU,2280000
,,DE-TH,DEU,2140000
,Barking and Dagenham,England,GBR,
,Barnet,England,GBR,
,Barnsley,England,GBR,
,Bath and North East Somerset,England,GBR,
,Bedford,England,GBR,
,Bexley,England,GBR,
,Birmingham,England,GBR,
,Blackburn with Darwen,England,GBR,
,Blackpool,England,GBR,
,Bolton,England,GBR,
,"Bournemouth, Christchurch and Poole",England,GBR,
,Bracknell Forest,England,GBR,
,Bradford,England,GBR,
,Brent,England,GBR,
,Brighton and Hove,England,GBR,
,"Bristol, City of",England,GBR,
,Bromley,England,GBR,
,Buckinghamshire,England,GBR,781167
,Bury,England,GBR,
,Calderdale,England,GBR,
,Cambridgeshire,England,GBR,830279
,Camden,England,GBR,
,Central Bedfordshire,England,GBR,
,Cheshire East,England,GBR,
,Cheshire West and Chester,England,GBR,
,Cornwall and Isles of Scilly,England,GBR,
,County Durham,England,GBR,
,Coventry,England,GBR,
,Croydon,England,GBR,
,Cumbria,England,GBR,497874
,Darlington,England,GBR,
,Derby,England,GBR,
,Derbyshire,England,GBR,1032267
,Devon,England,GBR,1159832
,Doncaster,England,GBR,
,Dorset,England,GBR,759768
,Dudley,England,GBR,
,Ealing,England,GBR,
,East Riding of Yorkshire,England,GBR,594825
,East Sussex,England,GBR,820842
,Enfield,England,GBR,
,Essex,England,GBR,1773154
,Gateshead,England,GBR,
,Gloucestershire,England,GBR,882888
,Greenwich,England,GBR,
,Hackney and City of London,England,GBR,
,Halton,England,GBR,
,Hammersmith and Fulham,England,GBR,
,Hampshire,England,GBR,1800511
,Haringey,England,GBR,
,Harrow,England,GBR,
,Hartlepool,England,GBR,
,Havering,England,GBR,
,"Herefordshire, County of",England,GBR,
,Hertfordshire,England,GBR,1154766
,Hillingdon,England,GBR,
,Hounslow,England,GBR,
,Isle of Wight,England,GBR,139105
,Islington,England,GBR,
,Kensington and Chelsea,England,GBR,
,Kent,England,GBR,1784369
,"Kingston upon Hull, City of",England,GBR,
,Kingston upon Thames,England,GBR,
,Kirklees,England,GBR,
,Knowsley,England,GBR,
,Lambeth,England,GBR,
,Lancashire,England,GBR,1471979
,Leeds,England,GBR,
,Leicester,England,GBR,
,Leicestershire,England,GBR,1005558
,Lewisham,England,GBR,
,Lincolnshire,England,GBR,1060567
,Liverpool,England,GBR,
,Luton,England,GBR,
,Manchester,England,GBR,
,Medway,England,GBR,
,Merton,England,GBR,
,Middlesbrough,England,GBR,
,Milton Keynes,England,GBR,
,Newcastle upon Tyne,England,GBR,
,Newham,England,GBR,
,Norfolk,England,GBR,877710
,North East Lincolnshire,England,GBR,
,North Lincolnshire,England,GBR,
,North Somerset,England,GBR,
,North Tyneside,England,GBR,
,North Yorkshire,England,GBR,1080136
,Northamptonshire,England,GBR,714392
,Northumberland,England,GBR,315987
,Nottingham,England,GBR,
,Nottinghamshire,England,GBR,1115658
,Oldham,England,GBR,
,Oxfordshire,England,GBR,672516
,Peterborough,England,GBR,
,Plymouth,England,GBR,
,Portsmouth,England,GBR,
,Reading,England,GBR,
,Redbridge,England,GBR,
,Redcar and Cleveland,England,GBR,
,Richmond upon Thames,England,GBR,
,Rochdale,England,GBR,
,Rotherham,England,GBR,
,Rutland,England,GBR,38022
,Salford,England,GBR,
,Sandwell,England,GBR,
,Sefton,England,GBR,
,Sheffield,England,GBR,
,Shropshire,England,GBR,479561
,Slough,England,GBR,
,Solihull,England,GBR,
,Somerset,England,GBR,931784
,South Gloucestershire,England,GBR,
,South Tyneside,England,GBR,
,Southampton,England,GBR,
,Southend-on-Sea,England,GBR,
,Southwark,England,GBR,
,St. Helens,England,GBR,
,Staffordshire,England,GBR,1111192
,Stockport,England,GBR,
,Stockton-on-Tees,England,GBR,
,Stoke-on-Trent,England,GBR,
,Suffolk,England,GBR,738512
,Sunderland,England,GBR,
,Surrey,England,GBR,1161256
,Sutton,England,GBR,
,Swindon,England,GBR,
,Tameside,England,GBR,
,Telford and Wrekin,England,GBR,
,Thurrock,England,GBR,
,Torbay,England,GBR,
,Tower Hamlets,England,GBR,
,Trafford,England,GBR,
,Wakefield,England,GBR,
,Walsall,England,GBR,
,Waltham Forest,England,GBR,
,Wandsworth,England,GBR,
,Warrington,England,GBR,
,Warwickshire,England,GBR,551594
,West Berkshire,England,GBR,
,West Sussex,England,GBR,828398
,Westminster,England,GBR,
,Wigan,England,GBR,
,Wiltshire,England,GBR,698942
,Windsor and Maidenhead,England,GBR,
,Wirral,England,GBR,
,Wokingham,England,GBR,
,Wolverhampton,England,GBR,
,Worcestershire,England,GBR,575421
,York,England,GBR,
,Ayrshire and Arran,Scotland,GBR,
,Borders,Scotland,GBR,
,Dumfries and Galloway,Scotland,GBR,
,Fife,Scotland,GBR,
,Forth Valley,Scotland,GBR,
,Grampian,Scotland,GBR,
,Greater Glasgow and Clyde,Scotland,GBR,
,Highland,Scotland,GBR,
,Lanarkshire,Scotland,GBR,
,Lothian,Scotland,GBR,
,Shetland,Scotland,GBR,
,Tayside,Scotland,GBR,
,Anchorage Economic Region,AK,USA,294356
,Gulf Coast Economic Region,AK,USA,80866
,Interior Economic Region,AK,USA,109847
,Mat-Su Economic Region,AK,USA,107610
,Northern Economic Region,AK,USA,27432
,Southeast Economic Region,AK,USA,72373
,Southwest Economic Region,AK,USA,42206
,Baldwin County,AL,USA,218022
,Calhoun County,AL,USA,114277
,Chambers County,AL,USA,33615
,Cullman County,AL,USA,83442
,Elmore County,AL,USA,81887
,Franklin County,AL,USA,31363
,Houston County,AL,USA,104722
,Jackson County,AL,USA,51736
,Jefferson County,AL,USA,659300
,Lamar County,AL,USA,13844
,Lauderdale County,AL,USA,92387
,Lee County,AL,USA,163941
,Limestone County,AL,USA,96174
,Madison County,AL,USA,366519
,Marion County,AL,USA,29763
,Mobile County,AL,USA,413757
,Montgomery County,AL,USA,225763
,Shelby County,AL,USA,215707
,St. Clair County,AL,USA,88690
,Talladega County,AL,USA,79828
,Tallapoosa County,AL,USA,40497
,Tuscaloosa County,AL,USA,208911
,Walker County,AL,USA,
,Washington County,AL,USA,16378
,Autauga County,AL,USA,55601
,Barbour County,AL,USA,24881
,Bibb County,AL,USA,22400
,Blount County,AL,USA,57840
,Bullock County,AL,USA,10138
,Butler County,AL,USA,19680
,Cherokee County,AL,USA,26032
,Chilton County,AL,USA,44153
,Choctaw County,AL,USA,12841
,Clarke County,AL,USA,23920
,Clay County,AL,USA,13275
,Cleburne County,AL,USA,14987
,Coffee County,AL,USA,51909
,Colbert County,AL,USA,54762
,Conecuh County,AL,USA,12277
,Coosa County,AL,USA,10715
,Covington County,AL,USA,36986
,Crenshaw County,AL,USA,13824
,Dale County,AL,USA,48956
,Dallas County,AL,USA,38310
,DeKalb County,AL,USA,71385
,Escambia County,AL,USA,36748
,Etowah County,AL,USA,102501
,Fayette County,AL,USA,16433
,Geneva County,AL,USA,26314
,Greene County,AL,USA,8233
,Hale County,AL,USA,14726
,Henry County,AL,USA,17209
,Lawrence County,AL,USA,32957
,Lowndes County,AL,USA,9974
,Macon County,AL,USA,18439
,Marengo County,AL,USA,19066
,Marshall County,AL,USA,96109
,Monroe County,AL,USA,21067
,Morgan County,AL,USA,119089
,Perry County,AL,USA,9140
,Pickens County,AL,USA,19938
,Pike County,AL,USA,33338
,Randolph County,AL,USA,22725
,Russell County,AL,USA,57781
,Sumter County,AL,USA,12691
,Wilcox County,AL,USA,10627
,Winston County,AL,USA,23660
,(unassigned),AR,USA,
,Howard County,AR,USA,13341
,Pulaski County,AR,USA,392680
,Lonoke County,AR,USA,73657
,Prairie County,AR,USA,8074
,Desha County,AR,USA,11512
,Phillips County,AR,USA,18029
,Searcy County,AR,USA,7958
,Independence County,AR,USA,37678
,Jackson County,AR,USA,16811
,Mississippi County,AR,USA,41239
,Greene County,AR,USA,45325
,Clay County,AR,USA,14847
,Randolph County,AR,USA,17948
,Lawrence County,AR,USA,16434
,Baxter County,AR,USA,41619
,Marion County,AR,USA,16722
,Perry County,AR,USA,10352
,Jefferson County,AR,USA,68114
,Washington County,AR,USA,236961
,Crawford County,AR,USA,63406
,Little River County,AR,USA,12326
,Miller County,AR,USA,43592
,Lafayette County,AR,USA,6682
,Columbia County,AR,USA,23537
,Union County,AR,USA,39126
,Ashley County,AR,USA,20046
,Chicot County,AR,USA,10438
,Benton County,AR,USA,272608
,Carroll County,AR,USA,28223
,Madison County,AR,USA,16481
,Sebastian County,AR,USA,127753
,Polk County,AR,USA,20049
,Sevier County,AR,USA,17139
,Garland County,AR,USA,99154
,Saline County,AR,USA,121421
,Franklin County,AR,USA,17810
,Scott County,AR,USA,10319
,Logan County,AR,USA,21737
,Yell County,AR,USA,21535
,Montgomery County,AR,USA,8924
,Pike County,AR,USA,10673
,Hempstead County,AR,USA,21741
,Drew County,AR,USA,18328
,Bradley County,AR,USA,10897
,Calhoun County,AR,USA,5277
,Ouachita County,AR,USA,23606
,Nevada County,AR,USA,8326
,Clark County,AR,USA,22061
,Dallas County,AR,USA,7182
,Cleveland County,AR,USA,8018
,Lincoln County,AR,USA,13383
,Arkansas County,AR,USA,17769
,Grant County,AR,USA,18188
,Monroe County,AR,USA,6900
,Lee County,AR,USA,8985
,Hot Spring County,AR,USA,33701
,St. Francis County,AR,USA,25439
,Crittenden County,AR,USA,48342
,Cross County,AR,USA,16676
,Woodruff County,AR,USA,6490
,White County,AR,USA,78727
,Faulkner County,AR,USA,124806
,Conway County,AR,USA,20891
,Newton County,AR,USA,7805
,Pope County,AR,USA,64000
,Johnson County,AR,USA,26742
,Van Buren County,AR,USA,16603
,Cleburne County,AR,USA,24965
,Poinsett County,AR,USA,23974
,Craighead County,AR,USA,108558
,Sharp County,AR,USA,17366
,Izard County,AR,USA,13593
,Fulton County,AR,USA,12269
,Stone County,AR,USA,12457
,Boone County,AR,USA,37480
,Yuma County,AZ,USA,212128
,Yavapai County,AZ,USA,231993
,Santa Cruz County,AZ,USA,46511
,Pinal County,AZ,USA,447138
,Pima County,AZ,USA,1039073
,Navajo County,AZ,USA,110445
,Mohave County,AZ,USA,209550
,Maricopa County,AZ,USA,4410824
,La Paz County,AZ,USA,21098
,Greenlee County,AZ,USA,9483
,Graham County,AZ,USA,38072
,Gila County,AZ,USA,53889
,Coconino County,AZ,USA,142854
,Cochise County,AZ,USA,126770
,Apache County,AZ,USA,71818
,Alameda County,CA,USA,1666753
,Alpine County,CA,USA,1101
,Amador County,CA,USA,39383
,Butte County,CA,USA,231256
,Calaveras County,CA,USA,45602
,Colusa County,CA,USA,21627
,Contra Costa County,CA,USA,1150215
,Del Norte County,CA,USA,27828
,El Dorado County,CA,USA,190678
,Fresno County,CA,USA,994400
,Glenn County,CA,USA,28047
,Humboldt County,CA,USA,136373
,Imperial County,CA,USA,181827
,Inyo County,CA,USA,17987
,Kern County,CA,USA,896764
,Kings County,CA,USA,151366
,Lake County,CA,USA,64382
,Lassen County,CA,USA,30802
,Los Angeles County,CA,USA,10105518
,Madera County,CA,USA,157672
,Marin County,CA,USA,259666
,Mariposa County,CA,USA,17471
,Mendocino County,CA,USA,87606
,Merced County,CA,USA,274765
,Modoc County,CA,USA,8777
,Mono County,CA,USA,14250
,Monterey County,CA,USA,435594
,Napa County,CA,USA,139417
,Nevada County,CA,USA,99696
,Orange County,CA,USA,3185968
,Placer County,CA,USA,393149
,Plumas County,CA,USA,18804
,Riverside County,CA,USA,2450758
,Sacramento County,CA,USA,1540975
,San Benito County,CA,USA,61537
,San Bernardino County,CA,USA,2171603
,San Diego County,CA,USA,3343364
,San Francisco County,CA,USA,883305
,San Joaquin County,CA,USA,752660
,San Luis Obispo County,CA,USA,284010
,San Mateo County,CA,USA,769545
,Santa Barbara County,CA,USA,446527
,Santa Clara County,CA,USA,1937570
,Santa Cruz County,CA,USA,274255
,Shasta County,CA,USA,180040
,Sierra County,CA,USA,2987
,Siskiyou County,CA,USA,43724
,Solano County,CA,USA,446610
,Sonoma County,CA,USA,499942
,Stanislaus County,CA,USA,549815
,Sutter County,CA,USA,96807
,Tehama County,CA,USA,63916
,Trinity County,CA,USA,12535
,Tulare County,CA,USA,465861
,Tuolumne County,CA,USA,54539
,Ventura County,CA,USA,850967
,Yolo County,CA,USA,220408
,Yuba County,CA,USA,78041
,,CA,USA,39512223
,Saguache County,CO,USA,6829
,Sedgwick County,CO,USA,2275
,Cheyenne County,CO,USA,1867
,Custer County,CO,USA,4934
,La Plata County,CO,USA,56446
,San Juan County,CO,USA,747
,Pitkin County,CO,USA,17926
,Park County,CO,USA,18545
,Alamosa County,CO,USA,16178
,Prowers County,CO,USA,12076
,Moffat County,CO,USA,13201
,Jefferson County,CO,USA,579877
,Summit County,CO,USA,30978
,Pueblo County,CO,USA,167081
,Boulder County,CO,USA,325520
,Denver County,CO,USA,717862
,Montrose County,CO,USA,42280
,Eagle County,CO,USA,54895
,San Miguel County,CO,USA,8196
,Costilla County,CO,USA,3819
,Broomfield County,CO,USA,69130
,Chaffee County,CO,USA,20010
,Crowley County,CO,USA,5855
,Fremont County,CO,USA,47921
,Huerfano County,CO,USA,6850
,Delta County,CO,USA,30936
,Garfield County,CO,USA,59854
,Rio Blanco County,CO,USA,6293
,Morgan County,CO,USA,28436
,Lincoln County,CO,USA,5574
,Montezuma County,CO,USA,26121
,Adams County,CO,USA,511720
,Mineral County,CO,USA,754
,Otero County,CO,USA,18352
,Phillips County,CO,USA,4280
,Ouray County,CO,USA,4812
,Bent County,CO,USA,5833
,Archuleta County,CO,USA,13764
,Routt County,CO,USA,25716
,Hinsdale County,CO,USA,804
,Weld County,CO,USA,314288
,Larimer County,CO,USA,350424
,Lake County,CO,USA,7766
,Rio Grande County,CO,USA,11213
,Gilpin County,CO,USA,6096
,Yuma County,CO,USA,10037
,Jackson County,CO,USA,1394
,Kit Carson County,CO,USA,7169
,Clear Creek County,CO,USA,9659
,Logan County,CO,USA,21858
,Washington County,CO,USA,4716
,Douglas County,CO,USA,342937
,Conejos County,CO,USA,8151
,El Paso County,CO,USA,714536
,Kiowa County,CO,USA,1373
,Teller County,CO,USA,25068
,Gunnison County,CO,USA,17182
,Baca County,CO,USA,3551
,Elbert County,CO,USA,26243
,Mesa County,CO,USA,153628
,Dolores County,CO,USA,2050
,Arapahoe County,CO,USA,651513
,Las Animas County,CO,USA,14529
,Grand County,CO,USA,15503
,,CO,USA,5695430
,Fairfield County,CT,USA,943823
,Hartford County,CT,USA,892697
,Litchfield County,CT,USA,181111
,Middlesex County,CT,USA,162682
,New Haven County,CT,USA,857620
,New London County,CT,USA,266784
,Tolland County,CT,USA,150921
,Windham County,CT,USA,117027
,New Castle County,DE,USA,559335
,Kent County,DE,USA,178550
,Pea Patch County,DE,USA,
,Sussex County,DE,USA,229286
,Reedy Island County,DE,USA,
,DE/NJ County,DE,USA,
,Hardee County,FL,USA,27245
,Lee County,FL,USA,754610
,Sumter County,FL,USA,128754
,Bay County,FL,USA,185287
,Gadsden County,FL,USA,45894
,Taylor County,FL,USA,21623
,Jackson County,FL,USA,48305
,Alachua County,FL,USA,269956
,Citrus County,FL,USA,147929
,Dixie County,FL,USA,16700
,Madison County,FL,USA,18529
,Suwannee County,FL,USA,44191
,Escambia County,FL,USA,315534
,Palm Beach County,FL,USA,1485941
,Glades County,FL,USA,13724
,Polk County,FL,USA,708009
,Monroe County,FL,USA,75027
,St. Johns County,FL,USA,254261
,Manatee County,FL,USA,394855
,Lake County,FL,USA,356495
,DeSoto County,FL,USA,37489
,Okeechobee County,FL,USA,41537
,Gulf County,FL,USA,16164
,Osceola County,FL,USA,367990
,St. Lucie County,FL,USA,321128
,Gilchrist County,FL,USA,18256
,Santa Rosa County,FL,USA,179349
,Marion County,FL,USA,359977
,Collier County,FL,USA,378488
,Seminole County,FL,USA,467832
,Holmes County,FL,USA,19477
,Leon County,FL,USA,292502
,Indian River County,FL,USA,157413
,Wakulla County,FL,USA,32461
,Okaloosa County,FL,USA,207269
,Franklin County,FL,USA,11736
,Martin County,FL,USA,160912
,Volusia County,FL,USA,547538
,Duval County,FL,USA,950181
,Broward County,FL,USA,1951260
,Liberty County,FL,USA,8457
,Brevard County,FL,USA,596849
,Calhoun County,FL,USA,14587
,Charlotte County,FL,USA,184998
,Clay County,FL,USA,216072
,Flagler County,FL,USA,112067
,Hernando County,FL,USA,190865
,Union County,FL,USA,14940
,Columbia County,FL,USA,70503
,Washington County,FL,USA,24880
,Highlands County,FL,USA,105424
,Putnam County,FL,USA,74163
,Miami-Dade County,FL,USA,2761581
,Baker County,FL,USA,28355
,Orange County,FL,USA,1380645
,Hendry County,FL,USA,41556
,Pinellas County,FL,USA,975280
,Bradford County,FL,USA,27732
,Jefferson County,FL,USA,14288
,Nassau County,FL,USA,85832
,Hillsborough County,FL,USA,1436888
,(unassigned),FL,USA,
,Levy County,FL,USA,40770
,Sarasota County,FL,USA,426718
,Hamilton County,FL,USA,14310
,Lafayette County,FL,USA,8732
,Pasco County,FL,USA,539630
,Walton County,FL,USA,71375
,,FL,USA,21477737
,Fulton County,GA,USA,1050114
,Cobb County,GA,USA,756865
,Dekalb County,GA,USA,
,Dougherty County,GA,USA,91243
,Bartow County,GA,USA,106408
,Gwinnett County,GA,USA,927781
,Cherokee County,GA,USA,254149
,Carroll County,GA,USA,118121
,Clayton County,GA,USA,289615
,Lee County,GA,USA,29764
,Clarke County,GA,USA,127330
,Fayette County,GA,USA,113459
,Richmond County,GA,USA,201554
,Floyd County,GA,USA,97927
,Hall County,GA,USA,202148
,Coweta County,GA,USA,145864
,Henry County,GA,USA,230220
,Lowndes County,GA,USA,116321
